Date,month_num,month,year,Value
199001,01,Jan,1990,0
199002,02,Feb,1990,0
199003,03,Mar,1990,1
199004,04,Apr,1990,19
199005,05,May,1990,25
199006,06,Jun,1990,125
199007,07,Jul,1990,273
199008,08,Aug,1990,215
199009,09,Sep,1990,146
199010,10,Oct,1990,56
199011,11,Nov,1990,3
199012,12,Dec,1990,0
199101,01,Jan,1991,0
199102,02,Feb,1991,4
199103,03,Mar,1991,0
199104,04,Apr,1991,6
199105,05,May,1991,14
199106,06,Jun,1991,58
199107,07,Jul,1991,209
199108,08,Aug,1991,191
199109,09,Sep,1991,176
199110,10,Oct,1991,74
199111,11,Nov,1991,6
199112,12,Dec,1991,0
199201,01,Jan,1992,0
199202,02,Feb,1992,0
199203,03,Mar,1992,0
199204,04,Apr,1992,31
199205,05,May,1992,86
199206,06,Jun,1992,101
199207,07,Jul,1992,223
199208,08,Aug,1992,293
199209,09,Sep,1992,171
199210,10,Oct,1992,52
199211,11,Nov,1992,3
199212,12,Dec,1992,0
199301,01,Jan,1993,0
199302,02,Feb,1993,0
199303,03,Mar,1993,6
199304,04,Apr,1993,15
199305,05,May,1993,47
199306,06,Jun,1993,112
199307,07,Jul,1993,160
199308,08,Aug,1993,205
199309,09,Sep,1993,137
199310,10,Oct,1993,43
199311,11,Nov,1993,0
199312,12,Dec,1993,0
199401,01,Jan,1994,0
199402,02,Feb,1994,0
199403,03,Mar,1994,5
199404,04,Apr,1994,11
199405,05,May,1994,25
199406,06,Jun,1994,144
199407,07,Jul,1994,228
199408,08,Aug,1994,285
199409,09,Sep,1994,143
199410,10,Oct,1994,18
199411,11,Nov,1994,0
199412,12,Dec,1994,0
199501,01,Jan,1995,0
199502,02,Feb,1995,5
199503,03,Mar,1995,1
199504,04,Apr,1995,6
199505,05,May,1995,13
199506,06,Jun,1995,67
199507,07,Jul,1995,221
199508,08,Aug,1995,260
199509,09,Sep,1995,176
199510,10,Oct,1995,51
199511,11,Nov,1995,14
199512,12,Dec,1995,0
199601,01,Jan,1996,0
199602,02,Feb,1996,0
199603,03,Mar,1996,4
199604,04,Apr,1996,21
199605,05,May,1996,50
199606,06,Jun,1996,128
199607,07,Jul,1996,299
199608,08,Aug,1996,291
199609,09,Sep,1996,122
199610,10,Oct,1996,22
199611,11,Nov,1996,4
199612,12,Dec,1996,0
199701,01,Jan,1997,0
199702,02,Feb,1997,0
199703,03,Mar,1997,10
199704,04,Apr,1997,13
199705,05,May,1997,120
199706,06,Jun,1997,101
199707,07,Jul,1997,201
199708,08,Aug,1997,264
199709,09,Sep,1997,214
199710,10,Oct,1997,32
199711,11,Nov,1997,5
199712,12,Dec,1997,0
199801,01,Jan,1998,0
199802,02,Feb,1998,0
199803,03,Mar,1998,0
199804,04,Apr,1998,1
199805,05,May,1998,7
199806,06,Jun,1998,52
199807,07,Jul,1998,252
199808,08,Aug,1998,328
199809,09,Sep,1998,123
199810,10,Oct,1998,16
199811,11,Nov,1998,0
199812,12,Dec,1998,0
199901,01,Jan,1999,0
199902,02,Feb,1999,0
199903,03,Mar,1999,1
199904,04,Apr,1999,1
199905,05,May,1999,22
199906,06,Jun,1999,77
199907,07,Jul,1999,193
199908,08,Aug,1999,183
199909,09,Sep,1999,137
199910,10,Oct,1999,78
199911,11,Nov,1999,6
199912,12,Dec,1999,0
200001,01,Jan,2000,0
200002,02,Feb,2000,0
200003,03,Mar,2000,1
200004,04,Apr,2000,20
200005,05,May,2000,63
200006,06,Jun,2000,158
200007,07,Jul,2000,186
200008,08,Aug,2000,250
200009,09,Sep,2000,139
200010,10,Oct,2000,14
200011,11,Nov,2000,0
200012,12,Dec,2000,0
200101,01,Jan,2001,0
200102,02,Feb,2001,0
200103,03,Mar,2001,4
200104,04,Apr,2001,2
200105,05,May,2001,106
200106,06,Jun,2001,155
200107,07,Jul,2001,197
200108,08,Aug,2001,248
200109,09,Sep,2001,160
200110,10,Oct,2001,56
200111,11,Nov,2001,4
200112,12,Dec,2001,0
200201,01,Jan,2002,0
200202,02,Feb,2002,0
200203,03,Mar,2002,0
200204,04,Apr,2002,10
200205,05,May,2002,29
200206,06,Jun,2002,127
200207,07,Jul,2002,261
200208,08,Aug,2002,209
200209,09,Sep,2002,172
200210,10,Oct,2002,15
200211,11,Nov,2002,7
200212,12,Dec,2002,0
200301,01,Jan,2003,10
200302,02,Feb,2003,0
200303,03,Mar,2003,4
200304,04,Apr,2003,1
200305,05,May,2003,35
200306,06,Jun,2003,116
200307,07,Jul,2003,320
200308,08,Aug,2003,272
200309,09,Sep,2003,206
200310,10,Oct,2003,93
200311,11,Nov,2003,0
200312,12,Dec,2003,0
200401,01,Jan,2004,0
200402,02,Feb,2004,0
200403,03,Mar,2004,20
200404,04,Apr,2004,18
200405,05,May,2004,56
200406,06,Jun,2004,115
200407,07,Jul,2004,246
200408,08,Aug,2004,230
200409,09,Sep,2004,158
200410,10,Oct,2004,14
200411,11,Nov,2004,0
200412,12,Dec,2004,0
200501,01,Jan,2005,0
200502,02,Feb,2005,0
200503,03,Mar,2005,1
200504,04,Apr,2005,6
200505,05,May,2005,44
200506,06,Jun,2005,70
200507,07,Jul,2005,307
200508,08,Aug,2005,262
200509,09,Sep,2005,90
200510,10,Oct,2005,25
200511,11,Nov,2005,8
200512,12,Dec,2005,0
200601,01,Jan,2006,0
200602,02,Feb,2006,0
200603,03,Mar,2006,0
200604,04,Apr,2006,2
200605,05,May,2006,58
200606,06,Jun,2006,193
200607,07,Jul,2006,377
200608,08,Aug,2006,212
200609,09,Sep,2006,141
200610,10,Oct,2006,19
200611,11,Nov,2006,8
200612,12,Dec,2006,0
200701,01,Jan,2007,0
200702,02,Feb,2007,0
200703,03,Mar,2007,10
200704,04,Apr,2007,13
200705,05,May,2007,49
200706,06,Jun,2007,124
200707,07,Jul,2007,269
200708,08,Aug,2007,283
200709,09,Sep,2007,106
200710,10,Oct,2007,27
200711,11,Nov,2007,7
200712,12,Dec,2007,0
200801,01,Jan,2008,0
200802,02,Feb,2008,0
200803,03,Mar,2008,4
200804,04,Apr,2008,11
200805,05,May,2008,31
200806,06,Jun,2008,157
200807,07,Jul,2008,265
200808,08,Aug,2008,282
200809,09,Sep,2008,191
200810,10,Oct,2008,65
200811,11,Nov,2008,12
200812,12,Dec,2008,0
200901,01,Jan,2009,4
200902,02,Feb,2009,0
200903,03,Mar,2009,1
200904,04,Apr,2009,8
200905,05,May,2009,87
200906,06,Jun,2009,79
200907,07,Jul,2009,289
200908,08,Aug,2009,245
200909,09,Sep,2009,227
200910,10,Oct,2009,20
200911,11,Nov,2009,5
200912,12,Dec,2009,0
201001,01,Jan,2010,0
201002,02,Feb,2010,0
201003,03,Mar,2010,0
201004,04,Apr,2010,1
201005,05,May,2010,14
201006,06,Jun,2010,100
201007,07,Jul,2010,214
201008,08,Aug,2010,192
201009,09,Sep,2010,154
201010,10,Oct,2010,28
201011,11,Nov,2010,0
201012,12,Dec,2010,0
201101,01,Jan,2011,0
201102,02,Feb,2011,0
201103,03,Mar,2011,1
201104,04,Apr,2011,9
201105,05,May,2011,16
201106,06,Jun,2011,73
201107,07,Jul,2011,217
201108,08,Aug,2011,235
201109,09,Sep,2011,180
201110,10,Oct,2011,43
201111,11,Nov,2011,0
201112,12,Dec,2011,0
201201,01,Jan,2012,4
201202,02,Feb,2012,0
201203,03,Mar,2012,1
201204,04,Apr,2012,13
201205,05,May,2012,54
201206,06,Jun,2012,108
201207,07,Jul,2012,211
201208,08,Aug,2012,334
201209,09,Sep,2012,231
201210,10,Oct,2012,56
201211,11,Nov,2012,7
201212,12,Dec,2012,0
201301,01,Jan,2013,0
201302,02,Feb,2013,0
201303,03,Mar,2013,8
201304,04,Apr,2013,22
201305,05,May,2013,63
201306,06,Jun,2013,161
201307,07,Jul,2013,289
201308,08,Aug,2013,235
201309,09,Sep,2013,160
201310,10,Oct,2013,20
201311,11,Nov,2013,5
201312,12,Dec,2013,0
201401,01,Jan,2014,10
201402,02,Feb,2014,3
201403,03,Mar,2014,10
201404,04,Apr,2014,22
201405,05,May,2014,80
201406,06,Jun,2014,151
201407,07,Jul,2014,313
201408,08,Aug,2014,253
201409,09,Sep,2014,224
201410,10,Oct,2014,96
201411,11,Nov,2014,11
201412,12,Dec,2014,0
201501,01,Jan,2015,5
201502,02,Feb,2015,7
201503,03,Mar,2015,26
201504,04,Apr,2015,18
201505,05,May,2015,23
201506,06,Jun,2015,197
201507,07,Jul,2015,233
201508,08,Aug,2015,300
201509,09,Sep,2015,237
201510,10,Oct,2015,111
201511,11,Nov,2015,0
201512,12,Dec,2015,0
201601,01,Jan,2016,0
201602,02,Feb,2016,10
201603,03,Mar,2016,6
201604,04,Apr,2016,22
201605,05,May,2016,33
201606,06,Jun,2016,201
201607,07,Jul,2016,282
201608,08,Aug,2016,267
201609,09,Sep,2016,145
201610,10,Oct,2016,47
201611,11,Nov,2016,10
201612,12,Dec,2016,0
201701,01,Jan,2017,0
201702,02,Feb,2017,0
201703,03,Mar,2017,10
201704,04,Apr,2017,20
201705,05,May,2017,47
201706,06,Jun,2017,180
201707,07,Jul,2017,336
201708,08,Aug,2017,320
201709,09,Sep,2017,161
201710,10,Oct,2017,76
201711,11,Nov,2017,14
201712,12,Dec,2017,3
201801,01,Jan,2018,8
201802,02,Feb,2018,0
201803,03,Mar,2018,1
201804,04,Apr,2018,20
201805,05,May,2018,35
201806,06,Jun,2018,138
201807,07,Jul,2018,377
201808,08,Aug,2018,298
201809,09,Sep,2018,171
201810,10,Oct,2018,45
201811,11,Nov,2018,8
201812,12,Dec,2018,0
201901,01,Jan,2019,0
201902,02,Feb,2019,0
201903,03,Mar,2019,1
201904,04,Apr,2019,22
201905,05,May,2019,14
201906,06,Jun,2019,134
201907,07,Jul,2019,244
201908,08,Aug,2019,284
201909,09,Sep,2019,155
201910,10,Oct,2019,36
201911,11,Nov,2019,6
201912,12,Dec,2019,0
202001,01,Jan,2020,0
202002,02,Feb,2020,0
202003,03,Mar,2020,0
202004,04,Apr,2020,13
202005,05,May,2020,74
202006,06,Jun,2020,130
202007,07,Jul,2020,250
202008,08,Aug,2020,355
202009,09,Sep,2020,259
202010,10,Oct,2020,120
202011,11,Nov,2020,5
202012,12,Dec,2020,0
202101,01,Jan,2021,0
202102,02,Feb,2021,0
202103,03,Mar,2021,0
202104,04,Apr,2021,20
202105,05,May,2021,53
202106,06,Jun,2021,202
202107,07,Jul,2021,344
202108,08,Aug,2021,296
202109,09,Sep,2021,192
202110,10,Oct,2021,20
202111,11,Nov,2021,19
202112,12,Dec,2021,0
202201,01,Jan,2022,3
202202,02,Feb,2022,0
202203,03,Mar,2022,7
202204,04,Apr,2022,18
202205,05,May,2022,45
202206,06,Jun,2022,190
202207,07,Jul,2022,284
202208,08,Aug,2022,343
202209,09,Sep,2022,259
202210,10,Oct,2022,65
202211,11,Nov,2022,0
202212,12,Dec,2022,0
202301,01,Jan,2023,0
202302,02,Feb,2023,0
202303,03,Mar,2023,0
202304,04,Apr,2023,10
202305,05,May,2023,25
202306,06,Jun,2023,52
202307,07,Jul,2023,329
202308,08,Aug,2023,269
202309,09,Sep,2023,99
202310,10,Oct,2023,58